gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1.0,0,1.0,0.0,12,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19.8,852.0,0
1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.15,25.0,1
0.0,0,1.0,0.0,58,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,59.9,4637.0,0
1.0,0,1.0,1.0,49,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,59.6,4331.0,0
0.0,0,0.0,0.0,30,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.3,3244.0,0
1.0,0,1.0,1.0,47,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,99.35,5268.0,1
1.0,0,1.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.2,77.0,1
1.0,0,1.0,0.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,90.25,5983.0,0
0.0,0,0.0,1.0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,64.7,2609.0,1
0.0,1,1.0,0.0,71,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,96.35,6126.0,0
1.0,1,1.0,0.0,2,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,95.5,787.0,0
0.0,0,1.0,1.0,27,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,66.15,3609.0,0
1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.2,26.0,0
1.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25,151.0,0
0.0,0,1.0,1.0,72,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,99.9,6275.0,0
1.0,0,0.0,0.0,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,69.7,1182.0,1
0.0,0,0.0,0.0,46,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,74.8,4664.0,0
1.0,0,0.0,0.0,34,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,106.35,4665.0,1
0.0,0,0.0,0.0,11,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,97.85,2625.0,1
1.0,0,1.0,1.0,10,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,49.55,1556.0,0
0.0,0,1.0,1.0,70,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,69.2,5331.0,0
0.0,0,1.0,1.0,17,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.75,1426.0,0
0.0,0,0.0,0.0,63,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,79.85,5321.0,0
0.0,0,1.0,0.0,13,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,76.2,2440.0,0
0.0,0,0.0,0.0,49,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,84.5,4844.0,0
1.0,0,0.0,0.0,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.25,499.0,0
0.0,0,0.0,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,80.65,646.0,1
1.0,0,0.0,0.0,52,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,79.75,5011.0,0
0.0,0,1.0,1.0,69,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,64.15,5026.0,0
0.0,1,0.0,0.0,43,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,90.25,4804.0,0
0.0,0,0.0,0.0,15,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.1,3118.0,1
0.0,1,1.0,0.0,25,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,69.5,3476.0,0
0.0,1,1.0,0.0,8,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.65,1851.0,1
0.0,1,1.0,1.0,60,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,74.85,5123.0,0
1.0,1,0.0,0.0,18,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,95.45,3475.0,1
0.0,0,1.0,1.0,63,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,99.65,5960.0,0
1.0,1,1.0,1.0,66,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,108.45,6227.0,0
0.0,0,1.0,1.0,34,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,24.95,2300.0,0
0.0,0,0.0,0.0,72,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,107.5,6417.0,0
0.0,0,1.0,0.0,47,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,100.5,5243.0,0
1.0,0,0.0,0.0,60,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,89.9,5585.0,0
1.0,0,1.0,0.0,72,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.1,4324.0,0
0.0,0,1.0,1.0,18,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,54.4,2406.0,0
0.0,0,0.0,0.0,9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,94.4,2242.0,1
0.0,0,0.0,0.0,3,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,75.3,983.0,0
1.0,0,1.0,0.0,47,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,78.9,4718.0,0
0.0,0,0.0,0.0,31,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,79.2,4055.0,0
0.0,0,1.0,1.0,50,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,20.15,2361.0,0
1.0,0,0.0,0.0,10,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,79.85,2286.0,0
1.0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,49.05,178.0,0
0.0,0,1.0,1.0,52,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.4,2606.0,0
1.0,1,1.0,1.0,64,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,111.6,6232.0,0
1.0,0,1.0,1.0,62,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,24.25,3114.0,0
0.0,0,0.0,1.0,3,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,64.5,772.0,0
0.0,1,0.0,0.0,56,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,110.5,5896.0,0
0.0,0,0.0,0.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,55.65,4181.0,0
0.0,0,1.0,1.0,8,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.65,1567.0,0
1.0,1,0.0,0.0,30,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,74.75,3794.0,0
0.0,0,1.0,1.0,45,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.9,2788.0,0
0.0,0,0.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,79.35,383.0,1
0.0,0,1.0,1.0,11,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,50.55,1733.0,0
0.0,0,1.0,0.0,7,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,75.15,1597.0,1
0.0,0,0.0,0.0,42,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,103.8,5070.0,0
0.0,0,1.0,0.0,49,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,20.15,2430.0,0
1.0,0,0.0,0.0,9,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.3,2338.0,0
0.0,0,1.0,0.0,35,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,62.15,3868.0,0
0.0,0,1.0,1.0,48,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,20.65,2553.0,0
0.0,0,1.0,1.0,46,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.95,2350.0,0
1.0,0,1.0,0.0,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.75,2476.0,0
1.0,0,1.0,1.0,30,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.05,4104.0,0
1.0,1,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,74.7,344.0,0
1.0,0,1.0,1.0,66,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,84.0,5706.0,0
0.0,0,0.0,0.0,65,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,111.05,6235.0,0
1.0,0,0.0,0.0,72,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,100.9,6327.0,0
0.0,0,0.0,0.0,12,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,78.95,2352.0,1
1.0,0,1.0,1.0,71,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,66.85,5267.0,0
1.0,0,0.0,0.0,5,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,21.05,557.0,1
1.0,0,0.0,0.0,52,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,21.0,2626.0,0
0.0,1,1.0,0.0,25,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,98.5,4067.0,1
1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.2,26.0,0
0.0,0,1.0,1.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.45,11.0,0
1.0,0,0.0,0.0,38,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,95.0,4692.0,0
0.0,1,1.0,0.0,66,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,45.55,4372.0,0
1.0,0,1.0,0.0,68,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,110.0,6367.0,1
1.0,0,0.0,0.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.3,508.0,0
0.0,0,1.0,1.0,72,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,104.15,6289.0,0
0.0,0,0.0,0.0,32,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,30.15,2353.0,0
1.0,0,0.0,0.0,43,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,94.35,4851.0,0
1.0,0,1.0,1.0,72,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,19.4,3009.0,0
1.0,0,1.0,0.0,55,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,96.75,5502.0,1
0.0,0,0.0,0.0,52,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,57.95,4381.0,0
0.0,0,0.0,0.0,43,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,91.65,4868.0,0
0.0,1,1.0,0.0,37,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76.5,4273.0,1
0.0,0,1.0,1.0,64,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,54.6,4592.0,0
1.0,0,1.0,1.0,3,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,89.85,998.0,0
0.0,0,0.0,0.0,36,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.05,2658.0,0
0.0,0,1.0,1.0,10,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,100.25,2564.0,1
0.0,0,0.0,0.0,41,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,20.65,2205.0,0
1.0,0,1.0,1.0,27,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,85.2,3812.0,0
0.0,0,1.0,1.0,56,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,99.8,5613.0,0
0.0,0,0.0,0.0,6,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.7,552.0,0
1.0,0,0.0,0.0,3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,74.4,938.0,1
0.0,0,1.0,1.0,7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.7,1275.0,0
0.0,0,1.0,1.0,4,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.85,262.0,0
1.0,0,0.0,0.0,33,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,88.95,4374.0,0
0.0,1,0.0,0.0,27,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,78.05,3804.0,1
1.0,0,1.0,0.0,72,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,23.55,3438.0,0
1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,19.75,17.0,0
1.0,1,0.0,0.0,71,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,56.45,4887.0,0
0.0,0,0.0,0.0,13,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,85.95,2785.0,0
0.0,0,1.0,1.0,25,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,58.6,3210.0,1
1.0,0,0.0,0.0,67,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,50.55,4510.0,0
1.0,0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,35.45,95.0,1
1.0,0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.35,408.0,1
0.0,0,0.0,0.0,43,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,25.7,2744.0,0
0.0,0,0.0,0.0,23,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,3502.0,0
0.0,0,1.0,1.0,64,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,20.2,2888.0,0
1.0,0,0.0,1.0,57,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.6,2719.0,0
0.0,1,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,70.45,305.0,1
0.0,1,1.0,1.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,88.05,6009.0,0
0.0,0,0.0,0.0,8,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,71.15,1729.0,1
0.0,0,1.0,0.0,61,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,101.05,5826.0,0
1.0,0,0.0,0.0,64,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,84.3,5519.0,0
1.0,1,1.0,0.0,71,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,23.95,3479.0,0
0.0,0,1.0,1.0,65,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,99.05,6004.0,0
1.0,0,0.0,0.0,3,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,19.6,255.0,0
1.0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.65,157.0,1
1.0,0,0.0,1.0,30,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,64.5,3656.0,0
1.0,0,1.0,1.0,15,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,69.5,2577.0,0
0.0,0,1.0,1.0,8,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,68.55,1730.0,0
1.0,0,0.0,0.0,7,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,95.0,1888.0,1
0.0,0,1.0,1.0,70,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,108.15,6436.0,0
1.0,0,1.0,1.0,62,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,86.1,5486.0,0
0.0,0,1.0,1.0,6,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,19.7,555.0,0
0.0,0,1.0,1.0,14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,80.9,2697.0,0
0.0,0,0.0,0.0,22,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,84.15,3556.0,0
1.0,0,1.0,1.0,22,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.15,1433.0,0
1.0,0,1.0,1.0,16,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,64.25,2501.0,0
1.0,0,0.0,0.0,10,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,25.7,1007.0,0
0.0,0,0.0,1.0,13,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,56.0,2077.0,0
0.0,0,1.0,0.0,20,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.4,3307.0,1
0.0,0,0.0,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,69.7,616.0,0
1.0,0,0.0,0.0,53,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,73.9,4871.0,0
0.0,0,1.0,1.0,11,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.6,951.0,0
1.0,0,1.0,0.0,69,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,19.9,3010.0,0
0.0,0,0.0,0.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.9,1072.0,1
1.0,0,1.0,0.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,89.05,5938.0,0
1.0,1,1.0,0.0,58,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,45.3,4153.0,1
0.0,0,1.0,1.0,16,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,20.4,1195.0,0
1.0,0,1.0,0.0,43,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,84.25,4656.0,0
0.0,0,1.0,0.0,2,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,104.4,980.0,1
1.0,0,1.0,0.0,14,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,81.95,2735.0,0
0.0,0,1.0,0.0,53,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,94.85,5403.0,1
0.0,0,0.0,0.0,32,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20.55,1885.0,0
0.0,0,1.0,0.0,34,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,24.7,2105.0,0
0.0,1,0.0,0.0,15,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,74.45,2686.0,1
0.0,1,0.0,0.0,7,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.45,1611.0,1
0.0,0,1.0,1.0,15,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,105.35,3277.0,0
1.0,0,1.0,0.0,61,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.55,2839.0,0
0.0,0,0.0,0.0,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,76.0,1
0.0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.3,152.0,0
1.0,0,0.0,0.0,8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,84.5,1901.0,1
